timestamp,model,mae,rmse,r2
2026-03-30 23:48:42.491357,linear,2.9699778428386647,3.728501932219929,0.9134203391600151,0.9069975156555652
2026-03-30 23:51:46.298170,linear,2.929921233459617,3.6860156290142383,0.9153822486933382,0.9066108964237451
2026-03-30 23:53:55.207345,linear,2.8669495273613164,3.6139206407791558,0.9186599643767371,0.9047084372309995
2026-03-30 23:54:47.930637,linear,2.9886105742003632,3.765558380710983,0.9116908091057053,0.9059766849890156
2026-03-31 00:32:05.428413,lasso,0.01,5000,cyclic,0.0001,2.980733641519723,3.7455748415581245,0.9126256226710509,0.9061438439374493,-2.809094222818176,-3.5321537972579877,0.9278394477939648
2026-03-31 00:34:32.518938,lasso,0.01,5000,random,0.0001,2.9547815562848623,3.7260070396687386,0.9135361683511025,0.9045734540948144,-2.8033992842961144,-3.5269863270807456,0.9280478266622861
2026-03-31 00:43:15.034415,lasso,0.01,5000,cyclic,0.0001,2.991065952213728,3.772868855983037,0.911347588388177,0.9056112558721179,-2.8709364106792368,-3.624764561717906,0.9239885314513673
2026-03-31 22:57:57.455992,linear,2.968289183443284,3.7246921281426704,0.9135971839243706,0.9069112517280421
2026-03-31 23:05:52.283764,linear,2.882001762693744,3.646667068810531,0.9171792106115297,0.9023416099067549
2026-03-31 23:00:25.816825,linear,2.845057937327895,3.6044979381921785,0.9190835728913159,0.8982925464814457
2026-03-31 23:03:27.031542,linear,2.9135424856905225,3.6799779956552903,0.9156592266521457,0.9069165855124292
2026-03-31 23:06:58.964683,lasso,0.01,5000,cyclic,0.0001,2.9809586266427286,3.745732795956623,0.9126182531970433,0.9058565704087193,-2.8094364692167004,-3.532320727078615,0.9278319002115172
2026-03-31 23:09:41.482703,lasso,0.01,5000,cyclic,0.0001,2.9749774945431686,3.7368976316494775,0.9130299865617302,0.8974490395288154,-2.807387642056385,-3.524543719323156,0.9281440143194036
2026-03-31 23:12:36.364372,lasso,0.01,5000,cyclic,0.0001,2.887574889378883,3.6341993227979326,0.9177445615835816,0.8966094836571408,-2.7316652591821926,-3.455190068109501,0.93098243034615
2026-03-31 23:14:50.524893,lasso,0.01,5000,cyclic,0.001,2.959446000812993,3.7362760817356353,0.9130589152154761,0.9040467295975682,-2.821839347755879,-3.5456880615427364,0.9272635165539544
2026-03-31 23:19:43.323020,ridge,0.1,,auto,0.001,2.96877356215433,3.7255140566564955,0.9135590466655453,0.9068701633718078,-2.803417775465593,-3.5316510625897513,0.9278353285272164
2026-03-31 23:22:44.336233,ridge,0.1,,auto,0.001,2.913839549806477,3.6638527939250287,0.916396748607444,0.9014189674133379,-2.7913004674132713,-3.5069926477055153,0.9288351334976219
2026-03-31 23:24:38.605101,ridge,1.0,,auto,0.001,2.857876953670141,3.6086130273561317,0.9188987103162279,0.8980601844947032,-2.725850830982666,-3.451691003803564,0.9311049666567073
2026-03-31 23:27:06.184920,ridge,0.01,,auto,0.001,2.9132227206660146,3.681527587079333,0.9155881820665759,0.9068381765490868,-2.7988446678494685,-3.5222638479027877,0.9281952235461407
2026-03-31 23:33:07.995178,elasticnet,0.01,0.9,5000,cyclic,0.001,2.9770685616127444,3.7426847381342077,0.9127604076237268,0.9060097248803247,-2.8110397970255403,-3.5333867931199534,0.9277852679580054
2026-03-31 23:36:26.766866,elasticnet,0.01,0.9,5000,cyclic,0.01,2.9736808045702356,3.738716820186068,0.9129452888375849,0.8973491679452955,-2.808912047915202,-3.529205567028705,0.9279455994353027
2026-03-31 23:39:19.085960,elasticnet,0.01,0.9,5000,cyclic,0.001,2.885115577130137,3.632244270821006,0.9178330379645355,0.8967206935526454,-2.7339378389849833,-3.4593358442796016,0.9308111623315117
2026-03-31 23:41:30.432056,elasticnet,0.01,0.9,5000,cyclic,0.001,2.9588456199411723,3.7356019293586566,0.9130902866933415,0.9040813529969196,-2.823313097195198,-3.54584139227548,0.9272778318835598
2026-04-01 01:02:19.508673,linear,2.882001762693744,3.646667068810531,0.9171792106115297,0.9023416099067549
2026-04-01 01:02:39.562382,lasso,0.01,5000,cyclic,0.0001,2.9749774945431686,3.7368976316494775,0.9130299865617302,0.8974490395288154,-2.807387642056385,-3.524543719323156,0.9281440143194036
2026-04-01 01:02:50.559149,ridge,0.1,,auto,0.001,2.913839549806477,3.6638527939250287,0.916396748607444,0.9014189674133379,-2.7913004674132713,-3.5069926477055153,0.9288351334976219
2026-04-01 01:03:04.325220,elasticnet,0.01,0.9,5000,cyclic,0.01,2.9736808045702356,3.738716820186068,0.9129452888375849,0.8973491679452955,-2.808912047915202,-3.529205567028705,0.9279455994353027
2026-04-01 01:21:23.021036,stacking,True,"['linear', 'lasso', 'ridge', 'elasticnet']",ridge,True,models,2.9093843844578826,3.661723614377001,0.9164938893063185,0.9155608601365567
